feature,mean_shap,mean_abs_shap
z_wdi_fuel_imports_pct_merchandise_imports,0.004783651,0.004783651
z_wdi_commercial_service_exports_current_usd_lag6,0.004749993,0.004749993
z_log_wdi_commercial_service_exports_current_usd_roll12m,0.004718011,0.004718011
any_conflict_past12m,-0.004651964,0.004651964
z_log_wdi_fuel_imports_pct_merchandise_imports_roll12m,0.004636589,0.004636589
z_acled_violence_against_civilians_fatalities_delta3m,-0.0036021944,0.004495162
z_vdem_egalitarian_democracy_index_roll3m,-0.0044743624,0.0044743624
z_acled_demonstrations_events_delta3m,0.0044505214,0.0044505214
z_sipri_milex_per_capita_constant_2023_usd,-0.0043475595,0.0043475595
z_acled_political_violence_events_roll12m,0.004256005,0.004256005
z_log_acled_population_exposure_sum_lag3,0.004079433,0.004079433
z_log_wdi_fuel_imports_pct_merchandise_imports,0.0040618074,0.0040618074
z_wdi_employment_to_population_ratio_15plus_total_pct_delta12m,0.0039212774,0.0039212774
z_wdi_employment_to_population_ratio_15plus_total_pct_roll6m,0.0038489923,0.0038489923
z_acled_explosions_remote_violence_events_delta3m,-0.0038161469,0.0038161469
z_wdi_military_expenditure_pct_of_gdp_lag3,-0.0037836167,0.0037836167
z_acled_riots_events_lag1,0.003763176,0.003763176
z_log_wdi_employment_to_population_ratio_15plus_total_pct_lag12,0.003693835,0.003693835
z_log_sipri_milex_per_capita_constant_2023_usd,-0.003684022,0.003684022
z_acled_strategic_developments_fatalities_roll12m,0.0036458133,0.0036458133
z_log_wdi_fuel_exports_pct_merchandise_exports_roll12m,-0.0036202786,0.0036202786
z_log_acled_riots_fatalities_roll6m,-0.003528655,0.003528655
